,Week,Genre,Play Share,Total Plays
359,2006-03-05,Rock,0.3076923076923077,104
360,2006-03-05,Metal,0.028846153846153848,104
361,2006-03-05,folk,0.019230769230769232,104
362,2006-03-05,Electronic,0.019230769230769232,104
363,2006-03-05,Pop,0.019230769230769232,104
364,2006-03-05,Classical,0.009615384615384616,104
365,2006-03-19,Hip Hop,0.4,25
366,2006-03-19,Pop,0.2,25
367,2006-03-19,other,0.16,25
368,2006-03-19,Rock,0.12,25
369,2006-03-19,Indie,0.04,25
370,2006-03-19,Electronic,0.08,25
371,2006-03-26,Electronic,0.22058823529411764,136
372,2006-03-26,Rock,0.3235294117647059,136
373,2006-03-26,other,0.19852941176470587,136
374,2006-03-26,Metal,0.058823529411764705,136
375,2006-03-26,Jazz,0.15441176470588236,136
376,2006-03-26,Pop,0.022058823529411766,136
377,2006-03-26,Indie,0.014705882352941176,136
378,2006-03-26,folk,0.007352941176470588,136
379,2006-04-02,Jazz,0.20384615384615384,260
380,2006-04-02,Rock,0.3423076923076923,260
381,2006-04-02,other,0.28846153846153844,260
382,2006-04-02,Metal,0.06923076923076923,260
383,2006-04-02,folk,0.05,260
384,2006-04-02,Electronic,0.019230769230769232,260
385,2006-04-02,Indie,0.007692307692307693,260
386,2006-04-02,Pop,0.011538461538461539,260
387,2006-04-02,Classical,0.007692307692307693,260
388,2006-04-09,Rock,0.48497854077253216,233
389,2006-04-09,other,0.20600858369098712,233
390,2006-04-09,Indie,0.06437768240343347,233
391,2006-04-09,Jazz,0.14163090128755365,233
392,2006-04-09,Metal,0.05150214592274678,233
393,2006-04-09,folk,0.012875536480686695,233
394,2006-04-09,Pop,0.017167381974248927,233
395,2006-04-09,Electronic,0.012875536480686695,233
396,2006-04-09,Classical,0.004291845493562232,233
397,2006-04-09,Hip Hop,0.004291845493562232,233
398,2006-04-16,other,0.3402061855670103,97
399,2006-04-16,Rock,0.4020618556701031,97
400,2006-04-16,Jazz,0.12371134020618557,97
401,2006-04-16,Electronic,0.1134020618556701,97
402,2006-04-16,folk,0.020618556701030927,97
403,2006-04-23,Jazz,0.4155844155844156,77
404,2006-04-23,Rock,0.2727272727272727,77
405,2006-04-23,folk,0.09090909090909091,77
406,2006-04-23,other,0.09090909090909091,77
407,2006-04-23,Metal,0.05194805194805195,77
408,2006-04-23,Indie,0.012987012987012988,77
409,2006-04-23,Classical,0.025974025974025976,77
410,2006-04-23,Electronic,0.03896103896103896,77
411,2006-04-30,Jazz,0.30303030303030304,33
412,2006-04-30,Rock,0.36363636363636365,33
413,2006-04-30,Electronic,0.15151515151515152,33
414,2006-04-30,other,0.15151515151515152,33
415,2006-04-30,Metal,0.030303030303030304,33
416,2006-05-07,Rock,0.3738532110091743,436
417,2006-05-07,Jazz,0.25229357798165136,436
418,2006-05-07,other,0.20412844036697247,436
419,2006-05-07,Metal,0.05045871559633028,436
420,2006-05-07,Classical,0.0481651376146789,436
421,2006-05-07,folk,0.034403669724770644,436
422,2006-05-07,Indie,0.013761467889908258,436
423,2006-05-07,Electronic,0.01834862385321101,436
424,2006-05-07,Hip Hop,0.0022935779816513763,436
425,2006-05-07,Pop,0.0022935779816513763,436
426,2006-05-14,Rock,0.67,200
427,2006-05-14,other,0.16,200
428,2006-05-14,Jazz,0.085,200
429,2006-05-14,Electronic,0.045,200
430,2006-05-14,Metal,0.02,200
431,2006-05-14,Classical,0.01,200
432,2006-05-14,folk,0.01,200
433,2006-05-21,Rock,0.5743801652892562,242
434,2006-05-21,other,0.16942148760330578,242
435,2006-05-21,Metal,0.11570247933884298,242
436,2006-05-21,Jazz,0.11570247933884298,242
437,2006-05-21,folk,0.01652892561983471,242
438,2006-05-21,Indie,0.008264462809917356,242
439,2006-05-28,Rock,0.4787234042553192,94
440,2006-05-28,other,0.46808510638297873,94
441,2006-05-28,Jazz,0.05319148936170213,94
442,2006-06-04,Rock,0.5837837837837838,185
443,2006-06-04,Pop,0.08648648648648649,185
444,2006-06-04,other,0.17297297297297298,185
445,2006-06-04,Jazz,0.15675675675675677,185
446,2006-06-11,Rock,0.5826446280991735,242
447,2006-06-11,other,0.2231404958677686,242
448,2006-06-11,Jazz,0.11983471074380166,242
449,2006-06-11,Metal,0.0371900826446281,242
450,2006-06-11,Pop,0.03305785123966942,242
451,2006-06-11,Hip Hop,0.004132231404958678,242
452,2006-06-18,Rock,0.42424242424242425,264
453,2006-06-18,Jazz,0.21212121212121213,264
454,2006-06-18,Electronic,0.10227272727272728,264
455,2006-06-18,other,0.17045454545454544,264
456,2006-06-18,Metal,0.05303030303030303,264
457,2006-06-18,Classical,0.007575757575757576,264
458,2006-06-18,Hip Hop,0.003787878787878788,264
459,2006-06-18,Indie,0.015151515151515152,264
460,2006-06-18,folk,0.003787878787878788,264
461,2006-06-18,Pop,0.007575757575757576,264
462,2006-06-25,Rock,0.48484848484848486,66
463,2006-06-25,Pop,0.06060606060606061,66
464,2006-06-25,other,0.09090909090909091,66
465,2006-06-25,Electronic,0.015151515151515152,66
466,2006-06-25,Metal,0.13636363636363635,66
467,2006-06-25,Jazz,0.18181818181818182,66
468,2006-06-25,Hip Hop,0.015151515151515152,66
469,2006-06-25,folk,0.015151515151515152,66
470,2006-07-02,Rock,0.4722222222222222,108
471,2006-07-02,Jazz,0.3148148148148148,108
472,2006-07-02,other,0.1388888888888889,108
473,2006-07-02,Electronic,0.037037037037037035,108
474,2006-07-02,Pop,0.018518518518518517,108
475,2006-07-02,Metal,0.018518518518518517,108
476,2006-07-09,Jazz,0.36764705882352944,68
477,2006-07-09,Pop,0.17647058823529413,68
478,2006-07-09,Rock,0.39705882352941174,68
479,2006-07-09,Metal,0.014705882352941176,68
480,2006-07-09,other,0.029411764705882353,68
481,2006-07-09,Electronic,0.014705882352941176,68
482,2006-07-16,Electronic,0.3793103448275862,87
483,2006-07-16,Jazz,0.22988505747126436,87
484,2006-07-16,Rock,0.3333333333333333,87
485,2006-07-16,Hip Hop,0.034482758620689655,87
486,2006-07-16,other,0.011494252873563218,87
487,2006-07-16,Metal,0.011494252873563218,87
488,2006-07-23,Hip Hop,0.6981132075471698,106
489,2006-07-23,Metal,0.24528301886792453,106
490,2006-07-23,Jazz,0.018867924528301886,106
491,2006-07-23,other,0.018867924528301886,106
492,2006-07-23,Pop,0.009433962264150943,106
493,2006-07-23,Rock,0.009433962264150943,106
494,2006-07-30,Electronic,0.48333333333333334,60
495,2006-07-30,Rock,0.48333333333333334,60
496,2006-07-30,Hip Hop,0.03333333333333333,60
497,2006-08-06,Rock,0.6804123711340206,194
498,2006-08-06,Jazz,0.08762886597938144,194
499,2006-08-06,Electronic,0.020618556701030927,194
500,2006-08-06,Indie,0.05670103092783505,194
501,2006-08-06,Pop,0.015463917525773196,194
502,2006-08-06,other,0.08247422680412371,194
503,2006-08-06,folk,0.03608247422680412,194
504,2006-08-06,Metal,0.005154639175257732,194
505,2006-08-06,Hip Hop,0.015463917525773196,194
506,2006-08-13,folk,0.09764309764309764,297
507,2006-08-13,Metal,0.09427609427609428,297
508,2006-08-13,Rock,0.5353535353535354,297
509,2006-08-13,other,0.2222222222222222,297
510,2006-08-13,Jazz,0.050505050505050504,297
511,2006-08-20,Rock,0.5903614457831325,83
512,2006-08-20,Jazz,0.40963855421686746,83
513,2006-08-27,Rock,0.36771300448430494,223
514,2006-08-27,Jazz,0.336322869955157,223
515,2006-08-27,other,0.17488789237668162,223
516,2006-08-27,folk,0.03587443946188341,223
517,2006-08-27,Electronic,0.04035874439461883,223
518,2006-08-27,Metal,0.03139013452914798,223
519,2006-08-27,Pop,0.004484304932735426,223
520,2006-08-27,Classical,0.004484304932735426,223
521,2006-08-27,Hip Hop,0.004484304932735426,223
522,2006-09-03,Rock,0.5076142131979695,197
523,2006-09-03,Jazz,0.25888324873096447,197
524,2006-09-03,Hip Hop,0.050761421319796954,197
525,2006-09-03,Electronic,0.04568527918781726,197
526,2006-09-03,Pop,0.04060913705583756,197
527,2006-09-03,other,0.07614213197969544,197
528,2006-09-03,Metal,0.01015228426395939,197
529,2006-09-03,folk,0.01015228426395939,197
530,2006-09-10,Jazz,0.43209876543209874,162
531,2006-09-10,Rock,0.42592592592592593,162
532,2006-09-10,other,0.08641975308641975,162
533,2006-09-10,Electronic,0.018518518518518517,162
534,2006-09-10,Metal,0.018518518518518517,162
535,2006-09-10,Hip Hop,0.006172839506172839,162
536,2006-09-10,Pop,0.006172839506172839,162
537,2006-09-10,Indie,0.006172839506172839,162
538,2006-09-17,Rock,0.41843971631205673,141
539,2006-09-17,other,0.3120567375886525,141
540,2006-09-17,Jazz,0.1702127659574468,141
541,2006-09-17,Electronic,0.05673758865248227,141
542,2006-09-17,folk,0.028368794326241134,141
543,2006-09-17,Pop,0.0070921985815602835,141
544,2006-09-17,Hip Hop,0.0070921985815602835,141
